Machine_Type,pressure,Temperature,Vibration,Machineruntime,Date,Component,Maintenancetype,Actiontaken,Failure type,Downtime (hrs)
Mill,56.99677718,74.96714153,980.7932,11,13-03-2023,Bearing,Predictive,Lubricated,Misalignment,2.6
Lathe,54.62316841,68.61735699,843.2626,13,05-08-2023,Gearbox,Predictive,Cleaned,Bearing Failure,5.7
Drill,50.29815185,76.47688538,580.9435,10,05-11-2023,Bearing,Corrective,Replaced,Misalignment,4.5
Lathe,46.76531611,85.23029856,503.7144,6,07-10-2023,Coupling,Corrective,Inspected,Leakage,3.8
Drill,53.49111657,85.6767,988.987,12,19-02-2024,Shaft,Preventive,Inspected,No Failure,1.4
Drill,51.96742693,67.65863043,941.5047,13,21-03-2023,Shaft,Predictive,Aligned,Overheating,1.4
Lathe,54.4759661,85.79212816,849.5873,8,03-07-2023,Motor,Corrective,Repaired,Wear and Tear,0.8
Mill,53.17585901,77.67434729,838.8752,16,24-08-2023,Coupling,Preventive,Replaced,No Failure,5.3
Drill,55.24776358,65.30525614,809.0974,10,31-05-2023,Bearing,Preventive,Replaced,No Failure,3.8
Mill,47.32382394,75.42560044,683.8261,7,24-01-2023,Motor,Predictive,Repaired,Leakage,4.4
Lathe,56.58697033,65.36582307,604.7863,9,23-05-2023,Motor,Corrective,Repaired,Bearing Failure,0.6
Drill,50.98799802,65.34270246,977.2191,15,01-07-2023,Gearbox,Preventive,Repaired,No Failure,5.8
Lathe,60.37630436,72.41962272,561.455,15,28-11-2023,Gearbox,Preventive,Cleaned,No Failure,5.1
Mill,46.55406091,50.86719755,937.7436,14,06-05-2023,Coupling,Predictive,Replaced,No Failure,1.7
Lathe,58.67981902,52.75082167,918.0564,9,19-12-2023,Lubrication,Preventive,Flushed,No Failure,1.5
Lathe,50.98955392,64.37712471,983.5224,6,25-02-2024,Shaft,Predictive,Aligned,Bearing Failure,1.5
Drill,46.74290998,59.8716888,699.2036,6,19-04-2023,Motor,Preventive,Replaced,No Failure,2.2
Lathe,47.58057083,73.14247333,885.989,8,13-09-2023,Gearbox,Preventive,Repaired,No Failure,3.4
Lathe,48.39826346,60.91975924,907.4759,11,13-03-2023,Gearbox,Preventive,Repaired,No Failure,2.9
Lathe,52.12082973,55.87696299,963.952,15,27-10-2023,Gearbox,Predictive,Cleaned,Overheating,2.1
Drill,52.61417744,84.65648769,886.678,12,12-03-2023,Coupling,Preventive,Tightened,No Failure,3.9
Mill,47.13149998,67.742237,918.0152,12,18-11-2023,Lubrication,Corrective,Refilled,Bearing Failure,1.3
Mill,49.87822704,70.67528205,960.9258,13,17-07-2023,Gearbox,Preventive,Cleaned,No Failure,2.1
Lathe,60.71135179,55.75251814,895.6649,15,12-05-2024,Coupling,Preventive,Inspected,No Failure,2.5
Drill,58.63771585,64.55617275,820.5932,8,29-03-2024,Bearing,Predictive,Inspected,Bearing Failure,3
Lathe,52.18161835,71.1092259,737.3775,19,11-08-2023,Motor,Predictive,Replaced,Bearing Failure,4.8
Mill,50.19001739,58.49006423,888.4763,14,12-05-2024,Lubrication,Corrective,Checked,Leakage,1.6
Drill,50.60015663,73.75698018,684.4617,7,06-03-2024,Shaft,Predictive,Replaced,Leakage,3.3
